"Ablitt","??¨ô","Yang Chuanzhuo","Banana Entertainment","a","2005","-","1"
"Aiden","§d¥È¾ç","Wu Xuanyue","Banana Entertainment","a","2002","-","2"
"Akilyar","¦ã§J¤O¨È","Aikeliya","unknown","a","2001","-","3"
"AlbertHe","·R¦X","Ai He","ESTAR Media","a","2003","-","4"
"AlbertYukun","¦ã·Ô©[","Ai Yukun","unknown","a","2004","-","5"
"Albin","¥Õ¤l«³","Bai Ziyi","Banana Entertainment","a","1999","-","6"
"Ansel","ªü©ýµM","A Xin Ran","unknown","a","2000","-","7"
"Archie","ËÎ¹t®p","Xian Jingfeng","unknown","a","1998","-","8"
"Ashley","±iÂî¾ü","Zhang Haolian","Yuehua Entertainment","a","2000","-","9"
"ATILLA","¤è¥É¦ë","Fang Yuheng","unknown","a","2007","-","10"
"Bobo","Ã¹«³³Ç","Luo Yijie","Moon Entertainment","a","2002","-","11"
"ChengLiyu","¾G¦O¦ö","Zheng Liyou","unknown","a","2001","-","12"
"ChenXinhao","³¯øÊ©þ","Chen Xinhao","Yuehua Entertainment","a","2002","-","13"
"CI","½²øÊ","Cai Xin","One Cool Jasco","a","1999","-","14"
"Dale","¤ý?§»","Wang Yanhong","ASE Entertainment","a","1998","-","15"
"David","½Ã°a¨Z","Wei Xuanwen","unknown","a","2004","-","16"
"dc","¤ýªF±á","Wang Dongchen","Yuehua Entertainment","a","1998","-","17"
"DDMORECASH","®]³ºªF","Sun Jingdong","unknown","a","2001","-","18"
"DEZ","§E©v»»","Yu Zongyao","Universal Music Hong Kong","a","2000","-","19"
"Dillon","¶ÀÃk","Huang Pan","unknown","a","2000","-","20"
"Eliott","¶ÀøÊ","Huang Xin","unknown","a","1999","-","21"
"Ely","§õÅv­õ","Li Quanzhe","Yuehua Entertainment","a","2001","-","22"
"Felix","³¯±ç","Chen Liang","Individual Trainee","a","2000","-","23"
"Gemini","¶À½÷¶¯","Huang Huixiong","unknown","a","1999","-","24"
"GThursday","§õ¿A·¨","Li Zeyang","unknown","a","2002","-","25"
"GuoDianjia","³¢·µ¥Ò","Guo Dianjia","Yuehua Entertainment","a","2004","-","26"
"Hiromu","¤j¹Ú","Dameng","Access Bright Entertainment","a","2000","-","27"
"HugoXinchuo","¶À¬Pºï","Huang Xingchuo","unknown","a","2003","-","28"
"HugoYibin","¶À«³Ùy","Huang Yibin","unknown","a","2000","-","29"
"HwangSeungdae","¶Àª@¤j","Huang Shengda","One Cool Jasco","a","1998","-","30"
"Jerry","ÃÓ«ä·½","Tan Siyuan","Lionsfire Pictures","a","2001","-","31"
"John","¦¿¤å«T","Jiang Wenjun","GK Entertainment","a","2001","-","32"
"Karl","¤B¤l®Ô","Ding Zilang","TVB","a","1997","-","33"
"Kenny","°q·çµM","Hao Ruiran","unknown","a","2002","-","34"
"KimDongbin","ª÷ªF±l","Jin Dongbin","One Cool Jasco","a","2001","-","35"
"Kingsley","·¨¥ç¨°","Yang Yichen","Banana Entertainment","a","1999","-","36"
"KongSonhei","¦¿«H¿Q","Jiang Xinxi","Yuehua Entertainment","a","2002","-","37"
"Kosuke","¥ú¯§","Guangyou","unknown","a","2000","-","38"
"Kun","®}·½©[","Xu Yuankun","TOV Entertainment","a","2000","-","39"
"Leo","ªL®iÃ{","Lin Zhanshuo","SDT Entertainment","a","2003","-","40"
"LiangShiyu","±ç¸Ö·Ô","Liang Shiyu","Yuehua Entertainment","a","2000","-","41"
"Lucifer","§õ¶h","Li Yi","Yuehua Entertainment","a","2002","-","42"
"Lui","¤g¤è¯[¥ì","Tufang Liuyi","unknown","a","2002","-","43"
"Neil","¹ç¯EµM","Ning Haoran","Xingyu Yinhe Entertainment","a","2000","-","44"
"Ollie","¶ø§Q","Aoli","Yuehua Entertainment","a","2006","-","45"
"ONEJunyi","ÄÁÂ@¤@","Zhong Junyi","L.Tao Entertainment","a","2002","-","46"
"ONEShiyuan","ªL¤h¤¸","Lin Shiyuan","Individual Trainee","a","2000","-","47"
"Orenda","µÎø¯","Shu Hao","Giant Goal Entertainment","a","2000","-","48"
"Pako","°Ï¬Ä»¨","Qu Pohao","unknown","a","2002","-","49"
"Roi","¸ô¤v","Luyi","Access Bright Entertainment","a","2006","-","50"
"Ryunosuke","Às¤§¤¶","Long Zhijie","unknown","a","1999","-","51"
"SeanChoHong","¤å¦õ¦J","Wen Zuokuang","unknown","a","2000","-","52"
"SeanZihao","¨H±ê»¨","Shen Zihao","unknown","a","1998","-","53"
"Service","®]Ãt«Â","Sun Xiaowei","unknown","a","2003","-","54"
"Shawn","¨v¦t¯E","Xiao Yuhao","unknown","a","2000","-","55"
"Sky","»¯¤ÑÁl","Zhao Tianyi","unknown","a","2008","-","56"
"Skye","ÃÓ«³¤Ñ","Tan Yitian","SDT Entertainment","a","2002","-","57"
"Tomoki","´¼¾ð","Zhishu","Access Bright Entertainment","a","2000","-","58"
"Tuna","¦¶¥Ã±j","Zhu Yongqiang","Jaywalk Newjoy","a","1999","-","59"
"Vic","±i³Ó§Æ","Zhang Shengxi","SDT Entertainment","a","2000","-","60"
"Walker","¤ý©[","Wang Kun","unknown","a","2005","-","61"
"WangMuqing","¨L¿p²M","Wang Muqing","Yuehua Entertainment","a","1998","-","62"
"XIN","ÁÂøÊ","Xie Xin","unknown","a","2002","-","63"
"YinJunlan","¤¨«T´P","Yin Junlan","Yuehua Entertainment","a","2000","-","64"
"Zack","»®¨N®¦","He Muen","Yuehua Entertainment","a","2004","-","65"


